name,volumeId,volumeNumber,year
BMC Bioinformatics,volume::bmc bioinformatics::2009::16,16,2009
Knowledge Discovery and Data Mining,volume::knowledge discovery and data mining::2016::6,6,2016
Appl. Ontology,volume::appl. ontology::2008::11,11,2008
IEEE International Enterprise Distributed Object Computing Conference,volume::ieee international enterprise distributed object computing conference::2011::3,3,2011
2015 16th IEEE International Conference on Mobile Data Management,volume::2015 16th ieee international conference on mobile data management::2015::12,12,2015
Real-time systems,volume::real-time systems::2012::1,1,2012
UbiComp/ISWC Adjunct,volume::ubicomp/iswc adjunct::2015::5,5,2015
International Symposium on Algorithms and Computation,volume::international symposium on algorithms and computation::2022::13,13,2022
Progress in Artificial Intelligence,volume::progress in artificial intelligence::2019::12,12,2019
Computer Vision and Pattern Recognition,volume::computer vision and pattern recognition::2025::5,5,2025
International Conference on Database and Expert Systems Applications,volume::international conference on database and expert systems applications::2006::16,16,2006
Journal of Cloud Computing,volume::journal of cloud computing::2024::3,3,2024
Journal of Chemical Information and Modeling,volume::journal of chemical information and modeling::2018::4,4,2018
IEEE International Conference on Data Engineering,volume::ieee international conference on data engineering::2014::6,6,2014
Professioni infermieristiche,volume::professioni infermieristiche::2015::19,19,2015
Clinical Spine Surgery,volume::clinical spine surgery::2023::4,4,2023
Multimedia tools and applications,volume::multimedia tools and applications::2003::16,16,2003
IAF Human Spaceflight Symposium,volume::iaf human spaceflight symposium::2024::20,20,2024
International Conference on Extending Database Technology,volume::international conference on extending database technology::2024::15,15,2024
arXiv.org,volume::arxiv.org::2022::7,7,2022
Medinfo,volume::medinfo::1998::18,18,1998
Astronomy and Computing,volume::astronomy and computing::2016::15,15,2016
IFIP International Conference on Embedded and Ubiquitous Computing,volume::ifip international conference on embedded and ubiquitous computing::2004::10,10,2004
Int. J. Distributed Syst. Technol.,volume::int. j. distributed syst. technol.::2011::18,18,2011
Environment and Planning,volume::environment and planning::2022::4,4,2022
"2017 IEEE International Conference on Internet of Things (iThings) and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom) and IEEE Smart Data (SmartData)","volume::2017 ieee international conference on internet of things (ithings) and ieee green computing and communications (greencom) and ieee cyber, physical and social computing (cpscom) and ieee smart data (smartdata)::2017::9",9,2017
International Conference on Statistical and Scientific Database Management,volume::international conference on statistical and scientific database management::1990::5,5,1990
Inf. Syst. Frontiers,volume::inf. syst. frontiers::2011::17,17,2011
ISPRS Int. J. Geo Inf.,volume::isprs int. j. geo inf.::2016::20,20,2016
Annual Meeting of the Association for Computational Linguistics,volume::annual meeting of the association for computational linguistics::2024::10,10,2024
Circulation,volume::circulation::2021::20,20,2021
Distributed and parallel databases,volume::distributed and parallel databases::2013::11,11,2013
International Conference on Applications of Natural Language to Data Bases,volume::international conference on applications of natural language to data bases::2008::19,19,2008
"International Conference on Geographical Information Systems Theory, Applications and Management","volume::international conference on geographical information systems theory, applications and management::2020::16",16,2020
Journal of Artificial Intelligence and Capsule Networks,volume::journal of artificial intelligence and capsule networks::2024::9,9,2024
China Semantic Web Symposium,volume::china semantic web symposium::2014::20,20,2014
BMC Bioinformatics,volume::bmc bioinformatics::2009::6,6,2009
ACM SIGMOD Conference,volume::acm sigmod conference::1997::11,11,1997
IEEE International Conference on Robotics and Automation,volume::ieee international conference on robotics and automation::2024::20,20,2024
International Conference on Extending Database Technology,volume::international conference on extending database technology::2018::3,3,2018
Programming and computer software,volume::programming and computer software::2023::3,3,2023
Bulletin of Rehabilitation Medicine,volume::bulletin of rehabilitation medicine::2025::13,13,2025
Digital Information and Communication Technology and Its Applications,volume::digital information and communication technology and its applications::2016::8,8,2016
AAAI Conference on Artificial Intelligence,volume::aaai conference on artificial intelligence::2011::14,14,2011
Cybersecurity and Cyberforensics Conference,volume::cybersecurity and cyberforensics conference::2019::2,2,2019
Archives of Orthopaedic and Trauma Surgery,volume::archives of orthopaedic and trauma surgery::2024::15,15,2024
International Conference on Database Theory,volume::international conference on database theory::2003::16,16,2003
Journal of Intensive Care Medicine,volume::journal of intensive care medicine::2020::10,10,2020
Conference on Computer Graphics and Interactive Techniques in Australasia and Southeast Asia,volume::conference on computer graphics and interactive techniques in australasia and southeast asia::2007::13,13,2007
Journal of Biological Chemistry,volume::journal of biological chemistry::2005::12,12,2005
Journal of the American Society of Nephrology,volume::journal of the american society of nephrology::2017::14,14,2017
Spine,volume::spine::2014::4,4,2014
Information and Computation,volume::information and computation::2011::3,3,2011
Symposium on Advances in Databases and Information Systems,volume::symposium on advances in databases and information systems::2019::17,17,2019
DKB/KIK@KI,volume::dkb/kik@ki::2018::15,15,2018
IEEE Transactions on Knowledge and Data Engineering,volume::ieee transactions on knowledge and data engineering::2016::15,15,2016
Applied Clinical Informatics,volume::applied clinical informatics::2011::8,8,2011
bioRxiv,volume::biorxiv::2020::15,15,2020
arXiv.org,volume::arxiv.org::2022::15,15,2022
Journal of Database Management,volume::journal of database management::1998::6,6,1998
Database J. Biol. Databases Curation,volume::database j. biol. databases curation::2020::9,9,2020
ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems,volume::acm sigact-sigmod-sigart symposium on principles of database systems::1997::7,7,1997
International Conference on Machine Learning,volume::international conference on machine learning::2005::2,2,2005
International Conference on Web Reasoning and Rule Systems,volume::international conference on web reasoning and rule systems::2013::11,11,2013
INTERANTIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT,volume::interantional journal of scientific research in engineering and management::2025::5,5,2025
Journal of Visual Languages and Computing,volume::journal of visual languages and computing::1992::15,15,1992
Circulation,volume::circulation::2022::17,17,2022
Annual International ACM SIGIR Conference on Research and Development in Information Retrieval,volume::annual international acm sigir conference on research and development in information retrieval::2024::14,14,2024
