venueId,name
journal of rheumatology,Journal of Rheumatology
ieee conference on network softwarization,IEEE Conference on Network Softwarization
siam symposium on simplicity in algorithms,SIAM Symposium on Simplicity in Algorithms
international research journal of modernization in engineering technology and science,International Research Journal of Modernization in Engineering Technology and Science
jco clinical cancer informatics,JCO Clinical Cancer Informatics
ieee pes asia-pacific power and energy engineering conference,IEEE PES Asia-Pacific Power and Energy Engineering Conference
international conference on automated software engineering,International Conference on Automated Software Engineering
malaria journal,Malaria Journal
journal of information processing,Journal of Information Processing
international conference on information technology based higher education and training,International Conference on Information Technology Based Higher Education and Training
"cybersecurity: education, science, technique","Cybersecurity: Education, Science, Technique"
revista de biología tropical,Revista de Biología Tropical
artificial general intelligence,Artificial General Intelligence
oto open,OTO Open
plant direct,Plant Direct
"jurnal sains, teknologi &amp; komputer","Jurnal Sains, Teknologi &amp; Komputer"
international journal of recent technology and engineering,International journal of recent technology and engineering
sgmd,SGMD
connectivity,Connectivity
machine learning and knowledge extraction,Machine Learning and Knowledge Extraction
international conference on blockchain computing and applications,International Conference on Blockchain Computing and Applications
sn computer science,SN Computer Science
2024 10th international conference on computer and communications (iccc),2024 10th International Conference on Computer and Communications (ICCC)
ieee transactions on medical imaging,IEEE Transactions on Medical Imaging
isprs journal of photogrammetry and remote sensing,Isprs Journal of Photogrammetry and Remote Sensing
distance education,Distance Education
journal of pathology informatics,Journal of Pathology Informatics
international journal of mathematical education in science and technology,International Journal of Mathematical Education in Science and Technology
international conference on cloud computing and intelligence systems,International Conference on Cloud Computing and Intelligence Systems
virus evolution,Virus Evolution
geoinformatica,GeoInformatica
pediatric neurology,Pediatric Neurology
ares,ARES
universal research reports,Universal Research Reports
journal of cardiology,Journal of Cardiology
american journal of clinical pathology,American Journal of Clinical Pathology
journal of nursing and midwifery sciences,Journal of Nursing and Midwifery Sciences
international conference on flexible query answering systems,International Conference on Flexible Query Answering Systems
proceedings of the association for information science and technology,Proceedings of the Association for Information Science and Technology
journal of media and entrepreneurial studies,Journal of Media and Entrepreneurial Studies
proceedings of the 1st international conference on cognitive &amp; cloud computing,Proceedings of the 1st International Conference on Cognitive &amp; Cloud Computing
ieee international conference on tools with artificial intelligence,IEEE International Conference on Tools with Artificial Intelligence
2019 2nd international conference on safety produce informatization (iicspi),2019 2nd International Conference on Safety Produce Informatization (IICSPI)
acs omega,ACS Omega
mobile information systems,Mobile Information Systems
chi extended abstracts,CHI Extended Abstracts
2024 3rd international conference on artificial intelligence and autonomous robot systems (aiars),2024 3rd International Conference on Artificial Intelligence and Autonomous Robot Systems (AIARS)
journal of community health,Journal of community health
international journal of intelligent systems,International Journal of Intelligent Systems
